C,34,24,36,271
C,34,24,34,0
C,35,26,37,0
B,34,22,35,5
B,30,23,33,8
B,32,24,35,2
DD,36,25,36,6
DD,30,24,32,18
C,37,23,36,0
B,34,24,35,1
B,34,25,34,1
C,36,24,36,0
DD,46,38,47,0
C,32,25,33,0
B,34,24,33,1
DD,38,24,35,8
C,33,26,35,1
DD,32,26,35,1
DD,38,24,35,1
D,34,24,34,0
AA,36,23,34,1
DD,43,37,47,0
D,34,24,35,24
D,34,24,35,67
C,34,25,36,1
DD,34,22,34,0
B,34,25,36,1
C,34,24,36,0
B,34,23,36,14
F,32,25,35,7
C,34,24,37,5
B,34,22,32,12
C,34,25,34,1
B,30,23,33,333
D,36,27,36,78
D,34,24,36,2
B,34,22,34,689
D,32,24,33,2
A,34,24,37,32
D,38,25,36,2
DD,34,29,40,1
AA,34,23,33,1
C,34,27,36,0
B,36,26,37,5
